,Epoch,TrainingLoss,TrainingAccuracy,ValidationLoss,ValidationAccuracy
0,1,1.332312163439664,0.2931818187236786,1.3896438750353726,0.25
0,2,1.3329817966981368,0.30227272673086686,1.3962368748404763,0.25
0,3,1.3284675468098033,0.3181818181818182,1.3906891671094028,0.296875
0,4,1.325283980369568,0.3090909096327695,1.391187071800232,0.41761363636363635
0,5,1.30678363496607,0.3272727267308669,1.3833919871937146,0.34232954545454547
0,6,1.3055197390643034,0.38636363473805513,1.3440827998248013,0.43323863636363635
0,7,1.27203519561074,0.42272727218541234,1.368931531906128,0.33948863636363635
0,8,1.2474891489202327,0.42272727435285395,1.266615325754339,0.4616477272727273
0,9,1.2808955561030995,0.406818183443763,1.2942858284169978,0.5028409090909091
0,10,1.2474525690078735,0.420454544912685,1.1993642341006885,0.5355113636363636
0,11,1.195875759558244,0.5022727261890064,1.190646074034951,0.4786931818181818
0,12,1.1406863125887785,0.5204545443708246,1.1939828395843506,0.4815340909090909
0,13,1.2185307719490746,0.45454545346173375,1.2351826212622903,0.46448863636363635
0,14,1.1613090926950629,0.5249999983744188,1.1940650614825161,0.4758522727272727
0,15,1.1620819611982867,0.5090909069234675,1.1702788201245395,0.515625
0,16,1.065064601464705,0.5409090919928117,1.0363263433629817,0.5411931818181818
0,17,1.1256908655166626,0.5113636341961947,1.0644751895557751,0.5653409090909091
0,18,1.0485925154252487,0.5909090876579285,1.0114920030940662,0.5823863636363636
0,19,1.1090158700942994,0.5499999989162792,1.1770931157198818,0.5696022727272727
0,20,1.0815165888179432,0.5340909090909091,1.0535818446766247,0.5866477272727273
0,21,1.0290864944458007,0.5909090941602534,1.0646985877643933,0.5951704545454546
